City,Year,CityAddress,BuildingType,LandArea,PricePsf
klang,2017,"klang, jalan permata 9/ks09",SEMI-D FACTORY,"14,434",269
klang,2017,"klang, jalan pertama 9a/ks09",SEMI-D FACTORY,"19,633",199
klang,2016,"klang, jalan permata 9a/ks9",SEMI-D FACTORY,"21,086",156
klang,2015,"klang, jalan permata 8",TERRACE FACTORY,"1,916",78
klang,2014,"klang, jalan pertama 9a/ks09",SEMI-D FACTORY,"19,633",169
klang,2014,"klang, jalan permata 9a/ks9",SEMI-D FACTORY,"19,892",153
klang,2014,"klang, jalan permata 9a/ks9",SEMI-D FACTORY,"19,892",153
klang,2017,"klang, hj abd karim 29/ks2",DETACHED FACTORY,"15,877",290
klang,2017,"klang, jalan hj. abdul karim 53",TERRACE FACTORY - INTERMEDIATE,"2,056",163
klang,2016,"klang, jalan rebana 3",TERRACE FACTORY - INTERMEDIATE,"2,056",195
klang,2016,"klang, jalan rebana 3",TERRACE FACTORY - INTERMEDIATE,"2,056",97
klang,2016,"klang, jalan rebana 10",TERRACE FACTORY - INTERMEDIATE,"1,970",330
klang,2015,"klang, lorong seruling 59/1",DETACHED FACTORY,"22,776",231
klang,2015,"klang, jalan rebana 10, off jalan seruling 59",TERRACE FACTORY,"1,970",203
klang,2015,"klang, lorong haji abdul karim 19b",TERRACE FACTORY - CORNER LOT,"2,766",235
klang,2015,"klang, jalan rebana",TERRACE FACTORY - INTERMEDIATE,"1,970",249
klang,2015,"klang, jalan hj abdul karim 33",TERRACE FACTORY - INTERMEDIATE,"2,056",185
klang,2017,"klang, jalan permata 2a/ks9",SEMI-D FACTORY,"18,460",260
klang,2017,"klang, jalan permata 2a/ks9",SEMI-D FACTORY,"18,180",264
klang,2016,"klang, jalan permata 2",TERRACE FACTORY - INTERMEDIATE,"2,077",289
klang,2015,"klang, jalan permata 2b/ks9",SEMI-D FACTORY,"17,760",270
klang,2015,"klang, jalan permata 2b/ks9",SEMI-D FACTORY,"12,249",302
klang,2015,"klang, jalan permata 8/ks09",TERRACE FACTORY - INTERMEDIATE,"1,916",78
klang,2015,"klang, jalan permata 8/ks09",TERRACE FACTORY - INTERMEDIATE,"1,916",78
klang,2014,"klang, jalan permata 2b/ks9",SEMI-D FACTORY,"17,760",273
